,0,1,2,3,4,5,6,7,8,9
110,5.0,4.0,5.0,5.0,5.0,16.0,5.0,2.0,5.0,3.0
111,5.0,5.0,5.0,5.0,5.0,0.0,5.0,1.0,5.0,0.0
112,5.0,5.0,5.0,16.0,5.0,25.0,5.0,1.0,5.0,15.0
113,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,41.0
114,5.0,11.0,5.0,5.0,5.0,29.0,5.0,5.0,5.0,41.0
115,5.0,5.0,5.0,5.0,5.0,31.0,5.0,7.0,5.0,0.0
116,5.0,10.0,5.0,5.0,5.0,25.0,5.0,5.0,5.0,41.0
117,5.0,5.0,5.0,10.0,5.0,25.0,5.0,5.0,5.0,41.0
118,5.0,10.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,30.0
119,5.0,1.0,5.0,5.0,5.0,25.0,5.0,10.0,5.0,41.0
120,5.0,5.0,5.0,5.0,5.0,20.0,5.0,14.0,5.0,26.0
121,5.0,30.0,5.0,16.0,5.0,25.0,5.0,14.0,5.0,20.0
122,5.0,0.0,5.0,0.0,5.0,2.0,5.0,7.0,5.0,1.0
123,20.0,0.0,20.0,5.0,20.0,25.0,20.0,14.0,20.0,41.0
124,20.0,5.0,20.0,10.0,20.0,25.0,20.0,14.0,20.0,41.0
125,20.0,25.0,20.0,5.0,20.0,25.0,20.0,6.0,20.0,15.0
126,20.0,5.0,20.0,5.0,20.0,25.0,20.0,19.0,20.0,41.0
127,20.0,5.0,20.0,5.0,20.0,25.0,20.0,14.0,20.0,41.0
128,20.0,1.0,20.0,5.0,20.0,25.0,20.0,15.0,20.0,9.0
129,20.0,5.0,20.0,5.0,20.0,10.0,20.0,6.0,20.0,41.0
130,20.0,5.0,20.0,10.0,20.0,25.0,20.0,19.0,20.0,41.0
131,20.0,5.0,20.0,5.0,20.0,25.0,20.0,14.0,20.0,41.0
132,0.0,5.0,0.0,10.0,0.0,25.0,0.0,14.0,0.0,41.0
133,5.0,5.0,5.0,1.0,5.0,10.0,5.0,14.0,5.0,26.0
134,5.0,4.0,5.0,1.0,5.0,20.0,5.0,19.0,5.0,41.0
135,5.0,0.0,5.0,0.0,5.0,25.0,5.0,14.0,5.0,41.0
136,10.0,5.0,10.0,1.0,10.0,25.0,10.0,14.0,10.0,41.0
137,5.0,5.0,5.0,1.0,5.0,20.0,5.0,14.0,5.0,41.0
138,6.0,2.0,6.0,0.0,6.0,36.0,6.0,14.0,6.0,6.0
139,5.0,5.0,5.0,8.0,5.0,21.0,5.0,9.0,5.0,41.0
140,5.0,5.0,5.0,1.0,5.0,21.0,5.0,14.0,5.0,15.0
141,5.0,0.0,5.0,1.0,5.0,21.0,5.0,10.0,5.0,3.0
142,13.0,5.0,13.0,0.0,13.0,21.0,13.0,14.0,13.0,41.0
143,13.0,5.0,13.0,1.0,13.0,21.0,13.0,9.0,13.0,35.0
144,13.0,10.0,13.0,0.0,13.0,21.0,13.0,14.0,13.0,41.0
145,13.0,5.0,13.0,0.0,13.0,21.0,13.0,14.0,13.0,40.0
146,13.0,6.0,13.0,1.0,13.0,21.0,13.0,9.0,13.0,41.0
147,13.0,5.0,13.0,1.0,13.0,21.0,13.0,0.0,13.0,41.0
148,13.0,5.0,13.0,1.0,13.0,21.0,13.0,9.0,13.0,36.0
149,13.0,16.0,13.0,1.0,13.0,25.0,13.0,0.0,13.0,41.0
150,13.0,5.0,13.0,1.0,13.0,25.0,13.0,4.0,13.0,31.0
151,5.0,11.0,5.0,1.0,5.0,25.0,5.0,14.0,5.0,35.0
152,5.0,5.0,5.0,0.0,5.0,25.0,5.0,19.0,5.0,41.0
153,10.0,10.0,10.0,1.0,10.0,25.0,10.0,1.0,10.0,41.0
154,5.0,5.0,5.0,1.0,5.0,15.0,5.0,14.0,5.0,40.0
155,1.0,5.0,1.0,1.0,1.0,25.0,1.0,9.0,1.0,14.0
156,0.0,5.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,5.0
157,5.0,9.0,5.0,1.0,5.0,10.0,5.0,14.0,5.0,41.0
158,5.0,15.0,5.0,1.0,5.0,20.0,5.0,10.0,5.0,40.0
159,5.0,5.0,5.0,1.0,5.0,20.0,5.0,14.0,5.0,40.0
160,5.0,0.0,5.0,1.0,5.0,25.0,5.0,0.0,5.0,40.0
161,5.0,5.0,5.0,1.0,5.0,25.0,5.0,14.0,5.0,41.0
162,5.0,5.0,5.0,0.0,5.0,25.0,5.0,10.0,5.0,26.0
163,11.0,5.0,11.0,1.0,11.0,25.0,11.0,14.0,11.0,41.0
164,5.0,5.0,5.0,1.0,5.0,25.0,5.0,16.0,5.0,41.0
165,5.0,5.0,5.0,1.0,5.0,1.0,5.0,14.0,5.0,41.0
166,5.0,10.0,5.0,0.0,5.0,14.0,5.0,14.0,5.0,25.0
167,0.0,15.0,0.0,1.0,0.0,9.0,0.0,14.0,0.0,40.0
168,5.0,5.0,5.0,1.0,5.0,14.0,5.0,9.0,5.0,41.0
169,5.0,5.0,5.0,0.0,5.0,14.0,5.0,14.0,5.0,0.0
170,5.0,5.0,5.0,0.0,5.0,5.0,5.0,14.0,5.0,1.0
171,5.0,5.0,5.0,8.0,5.0,15.0,5.0,14.0,5.0,35.0
172,5.0,5.0,5.0,1.0,5.0,14.0,5.0,14.0,5.0,41.0
173,5.0,5.0,5.0,1.0,5.0,19.0,5.0,1.0,5.0,26.0
174,5.0,5.0,5.0,1.0,5.0,14.0,5.0,14.0,5.0,41.0
175,1.0,5.0,1.0,1.0,1.0,5.0,1.0,14.0,1.0,41.0
176,11.0,0.0,11.0,1.0,11.0,15.0,11.0,14.0,11.0,41.0
177,5.0,9.0,5.0,1.0,5.0,6.0,5.0,14.0,5.0,41.0
178,5.0,1.0,5.0,1.0,5.0,14.0,5.0,14.0,5.0,41.0
179,5.0,0.0,5.0,1.0,5.0,14.0,5.0,14.0,5.0,41.0
180,5.0,6.0,5.0,1.0,5.0,19.0,5.0,14.0,5.0,30.0
181,0.0,5.0,0.0,6.0,0.0,14.0,0.0,14.0,0.0,41.0
182,5.0,0.0,5.0,0.0,5.0,10.0,5.0,14.0,5.0,40.0
183,5.0,5.0,5.0,1.0,5.0,19.0,5.0,19.0,5.0,41.0
184,5.0,10.0,5.0,1.0,5.0,5.0,5.0,14.0,5.0,41.0
185,5.0,5.0,5.0,1.0,5.0,15.0,5.0,14.0,5.0,41.0
186,5.0,0.0,5.0,1.0,5.0,18.0,5.0,14.0,5.0,45.0
187,5.0,20.0,5.0,1.0,5.0,14.0,5.0,19.0,5.0,41.0
188,5.0,5.0,5.0,0.0,5.0,14.0,5.0,14.0,5.0,1.0
189,5.0,5.0,5.0,1.0,5.0,10.0,5.0,0.0,5.0,41.0
190,5.0,5.0,5.0,1.0,5.0,14.0,5.0,1.0,5.0,0.0
191,5.0,5.0,5.0,1.0,5.0,14.0,5.0,14.0,5.0,36.0
192,6.0,5.0,6.0,1.0,6.0,14.0,6.0,14.0,6.0,8.0
193,5.0,0.0,5.0,0.0,5.0,14.0,5.0,14.0,5.0,8.0
194,5.0,5.0,5.0,0.0,5.0,14.0,5.0,10.0,5.0,8.0
195,5.0,4.0,5.0,0.0,5.0,14.0,5.0,15.0,5.0,1.0
196,5.0,5.0,5.0,1.0,5.0,14.0,5.0,14.0,5.0,7.0
197,1.0,5.0,1.0,1.0,1.0,21.0,1.0,0.0,1.0,8.0
